127.0.0.1 - - [27/Jul/2019:22:20:28 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:20:48 +0530] "GET /NinjaEx/ HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:31:46 +0530] "GET /NinjaEx/ HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:38:45 +0530] "GET /NinjaEx/ HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:39:01 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:39:16 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:53:39 +0530] "GET /NinjaEx/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:56:48 +0530] "GET /NinjaEx/ HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:56:58 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:57:11 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:58:14 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:58:24 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [27/Jul/2019:22:58:46 +0530] "POST /NinjaEx/ HTTP/1.1" 200 2277
